Geographic_Area_Name,NAICS_Description,Year,Total_Fringe_Benefits,Total_Materials_Cost,Cost_Materials_Used,Cost_Resales,Inventories_Beginning_Year,Finished_Goods_Beginning,Work_In_Process_Beginning,Materials_Supplies_Beginning,Inventories_End_Year,Finished_Goods_End,Work_In_Process_End,Materials_Supplies_End,Total_Capital_Expenditures,Capital_Buildings,Capital_Machinery,Capital_Automobiles,Capital_Computers,Capital_Other
Idaho,Manufacturing,2020,1019585,13852627,12908179,258432,3029457,1136412,518941,1374104,3287629,1196663,512869,1578097,971839,188125,783713,31095,43781,708838
Idaho,Manufacturing,2021,1060295,15185018,14197635,287054,3314643,1204545,526107,1583991,3767037,1365099,745152,1656786,1126399,398984,727415,22216,43414,661785
Illinois,Manufacturing,2018,9559477,154490258,140846104,7827285,25881916,10925025,5003388,9953503,27872689,11386879,5636405,10849404,7125495,1085981,6039514,211857,211901,5615756
Illinois,Manufacturing,2019,9623043,146870070,133499678,7875417,27429906,11326851,5615951,10487105,28132301,11707742,5546305,10878254,7089899,1201534,5888365,192413,216951,5479001
Illinois,Manufacturing,2020,9095525,132255259,119601791,7659719,27573353,11541256,5413227,10618871,26935914,11117363,5140043,10678508,6669467,1211555,5457912,171721,196285,5089905
Illinois,Manufacturing,2021,9438093,163968006,150082782,7991842,26628124,10972046,5095584,10560494,32896409,13225599,6171382,13499428,7870243,1318557,6551686,195687,214831,6141168
Indiana,Manufacturing,2018,8896206,154277037,144213869,4131106,25303724,8485557,6310712,10507455,27492010,8791378,7190183,11510449,7623115,1169489,6453626,209900,186160,6057565
Indiana,Manufacturing,2019,8817554,151481624,141967557,3841261,26318453,8796035,6451391,11071028,26575421,9040530,6177228,11357663,7437802,1266470,6171332,234871,155601,5780860
Indiana,Manufacturing,2020,8406827,139146803,130314970,3869199,26620456,9055821,6195707,11368929,25694801,8170278,6004469,11520054,6835128,1336917,5498211,219037,145211,5133964
Indiana,Manufacturing,2021,8854320,164421620,154473925,4212301,24967960,8008009,5733203,11226747,31832288,9782354,7184204,14865730,6922929,1574723,5348206,211504,141495,4995207
Iowa,Manufacturing,2018,3738607,68571223,63406931,2390633,9361964,3658772,2049500,3653692,10509710,4203085,2186571,4120055,2891011,496707,2394304,122270,91040,2180994
Iowa,Manufacturing,2019,3808155,67002681,61309980,2902961,10118335,3869919,2246720,4001697,10463509,4021419,2184471,4257620,2836826,413433,2423394,96881,78829,2247684
Iowa,Manufacturing,2020,3600538,63657493,58571612,2421055,11192137,3984911,2376454,4830772,11170738,3891312,2382863,4896564,3172220,803096,2369124,99440,116144,2153539
Iowa,Manufacturing,2021,3815589,77703929,71904766,2643250,11198692,3892555,2396786,4909351,13592241,4253696,2907473,6431071,4142488,774756,3367731,116830,149376,3101525
Kansas,Manufacturing,2018,2893455,55458540,49696484,4279595,9799800,4172039,2414145,3213616,9994687,3949082,2469500,3576106,2679498,664390,2015108,64197,55525,1895386
Kansas,Manufacturing,2019,2966805,55206752,49967129,3848142,10091860,3935570,2449429,3706861,10107913,4167370,2194220,3746324,2557799,505707,2052093,65288,117379,1869426
Kansas,Manufacturing,2020,2876215,49115747,44117733,3758459,10151422,4196605,2172889,3781928,9771241,3836983,2149101,3785156,2121098,458419,1662679,64327,55536,1542816
